Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50;2021_51;2021_52;2022_1;2022_2;2022_3;2022_4;2022_5;2022_6;2022_7;2022_8;2022_9;2022_10;2022_11;2022_12;2022_13;Veränderung zur Vorwoche in %
Gesamt;901;6431;22389;33964;36052;27125;17332;12351;7435;6230;4759;3602;3207;2354;2344;4185;3166;2690;2422;3040;3935;4841;6068;7955;9596;8833;8616;9762;12292;13070;15931;26124;42057;74868;110998;125718;127815;128399;123144;128375;156306;174701;138923;123079;145493;118906;95550;78179;64588;50817;52431;56390;58436;71397;92663;116341;110126;118257;142078;144796;124816;100982;70812;52703;29898;20690;14060;7278;4847;4378;5583;9109;12638;15513;20420;32071;49647;66381;74748;71676;61475;53609;56488;58008;65354;97723;137033;177889;271299;351722;403327;388263;338202;273607;193933;208764;338136;486043;796077;1110624;1289567;1307261;1190570;1090497;1124923;1398785;1565894;1565494;1274428;-18.6
90+;1;13;102;424;1171;1244;849;583;284;204;141;103;72;42;46;37;28;24;14;27;17;39;29;25;18;28;24;45;74;94;119;182;437;887;1462;1722;2315;3064;3514;4195;5401;5967;5235;4981;5404;5018;3943;2875;1934;1297;1061;827;611;608;639;661;623;716;792;794;636;539;407;276;160;129;66;44;11;6;17;20;25;56;65;127;138;228;335;349;392;331;325;396;521;889;1161;1647;1894;2330;2632;2398;2300;1861;1174;1089;1413;1618;2885;4211;5968;7473;8034;8338;7931;9251;10302;10426;8526;-18.2
85 - 89;6;38;218;735;1452;1420;924;680;324;262;179;125;85;51;51;47;33;28;20;25;34;41;38;56;23;33;25;85;101;121;165;307;576;1151;1785;2279;2832;3378;4090;4595;5906;6939;5815;5583;6067;5554;4441;3326;2575;1648;1461;1207;964;938;1113;1267;1195;1072;1201;1177;990;854;618;435;236;158;90;50;41;26;30;41;50;65;85;146;221;333;438;506;519;449;530;590;722;1322;1679;2312;2971;3847;4230;3710;3397;2709;1756;1609;1966;2126;3496;4941;7176;9259;9963;10337;10483;12522;14864;14981;12900;-13.9
80 - 84;12;84;469;1277;1965;1718;1175;818;452;298;246;154;114;76;61;62;51;49;37;37;51;90;70;81;64;50;59;132;196;212;315;471;857;1839;2836;3434;3796;4359;4769;5446;7071;8255;7406;6861;7667;6679;5330;4193;3140;2289;1995;1774;1549;1637;1792;2132;1896;1956;2219;2024;1593;1365;922;695;384;209;156;63;41;38;46;49;74;110;175;230;296;476;677;823;792;663;903;984;1155;1960;2959;3947;5385;6723;7447;6416;5062;4031;2580;2531;3237;3353;5216;7356;10352;13130;13757;14702;14867;19502;24234;25363;22094;-12.9
75 - 79;24;113;571;1403;1788;1315;855;586;349;274;174;105;82;58;46;65;58;40;40;44;57;71;55;72;67;69;75;147;180;233;308;503;903;1631;2646;3055;3282;3382;3479;3966;4999;5932;5100;4637;5213;4311;3409;2812;2196;1699;1714;1571;1363;1423;1894;2222;2176;2353;2706;2490;2120;1659;1139;774;408;251;155;58;50;46;45;48;64;100;122;227;286;414;543;594;564;562;713;738;962;1626;2490;3242;4857;6296;7004;6101;4949;3599;2261;2315;2966;3041;4738;6863;9001;10906;11544;12214;12585;17282;22157;23802;20449;-14.1
70 - 74;11;146;620;1330;1411;1040;631;423;275;207;127;94;80;47;40;57;41;37;56;62;63;89;91;79;97;92;105;151;260;267;351;584;934;1805;2882;3187;3304;3356;3190;3479;4384;5157;4444;4130;4835;3665;3054;2480;2065;1575;1599;1642;1556;1806;2376;2840;2899;3144;3610;3369;2877;2301;1593;1081;583;342;213;114;71;68;59;68;102;168;172;298;392;619;740;817;756;692;857;1022;1160;2009;3166;4513;6469;8729;9503;8670;7170;5107;3390;3516;4579;4835;7236;10374;13733;16386;16978;17434;18759;25607;32191;34425;29936;-13
65 - 69;25;236;885;1645;1687;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;72;84;86;121;110;122;129;127;224;290;304;450;689;1282;2263;3553;4263;4015;4157;4130;4115;5168;6347;5584;4976;5729;4416;3626;3128;2537;1912;2040;2121;1996;2305;3192;3901;3966;4309;4910;4625;3969;3294;2320;1617;769;592;321;134;103;76;93;114;160;240;284;405;591;810;997;1107;1050;985;1097;1389;1574;2597;3904;5489;8272;11033;12651;12085;10172;7552;5045;5285;6849;7540;11520;16241;21228;24612;24864;25193;26735;35538;44138;46678;40557;-13.1
60 - 64;63;429;1597;2524;2780;1786;1085;672;405;332;239;174;168;107;91;121;106;112;94;110;153;151;204;193;237;244;249;340;490;542;683;1270;2121;3962;5985;6856;6929;7297;7001;7655;9434;11039;9180;8262;9288;7551;6235;5126;4217;3189;3246;3516;3418;4126;5313;6576;6408;6875;7601;7755;6799;5531;3733;2646;1346;850;558;281;155;155;168;235;294;398;477;714;980;1484;1838;1880;1710;1643;1814;2152;2560;4275;6187;8893;12962;17084;20148;19208;16419;12201;8231;8944;11978;14619;22929;33034;41836;47349;47629;47140;49677;65061;79128;83183;71021;-14.6
55 - 59;76;748;2585;3591;3663;2601;1565;1062;598;509;359;263;237;142;133;194;198;156;116;178;242;288;309;325;432;356;394;553;760;867;1108;1874;3003;5759;8970;10162;10298;10263;9873;10389;13049;14994;12390;11090;12327;10031;8338;7010;5808;4512;4603;4843;4642;5716;7273;9098;8954;9681;10667;11021;9925;7817;5325;3581;1931;1255;795;363;244;231;245;368;546;581;788;1245;1803;2397;2725;2893;2602;2488;2762;3032;3605;5963;8564;12008;17554;23410;27299;25918;21671;16626;11383;13199;19019;23792;36077;50269;62537;69272;68631;67157;71366;93209;112913;115887;98044;-15.4
50 - 54;134;977;3089;4000;3699;2606;1562;988;599;519;374;251;241;150;147;325;260;186;172;208;294;353;415;473;559;539;550;669;901;996;1203;2268;3579;6424;9760;10969;10997;10843;10329;10553;13260;14922;11971;10533;12114;9805;8181;6675;5310;4308;4503;4754;4954;5909;7545;9353;9123;9955;11112;11644;10144;8012;5474;3770;2055;1353;826;443;300;226;292;455;624;824;978;1644;2537;3338;3726;3694;3330;2892;3300;3475;4211;6583;9182;12785;18827;25022;28524;27007;22316;17645;12054;14171;22083;30047;43670;60086;73244;78258;75135;71459;76715;99149;116860;118124;99196;-16
