Altersmedian/-mittelwert für Hospitalisierte, Patienten auf Intensivstation und Verstorbene von an das RKI übermittelten COVID-19-Fällen für die Meldewochen KW 10 – 53/2020 und KW 01 - 32/2021;;;;;;;;;;;;;;
Stand: 17.08.2021 08:32:38;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Meldejahr;Meldewoche;Altersmedian alle COVID-19-Fälle;Altersmedian hospitalisierte Fälle;Altersmedian der Fälle auf Intensivstation;Altersmedian der verstorbenen COVID-19-Fälle;;;Meldejahr;Meldewoche;Anzahl COVID-19-Fälle;Mittelwert Alter alle COVID-19-Fälle;Mittelwert Alter hospitalisierte Fälle;Mittelwert Alter  Fälle auf Intensivstation;Mittelwert Alter der verstorbenen COVID-19-Fälle
2020;10;45;51;69.5;79;;;2020;10;898;43;50;66;77
2020;11;47;58;67;80;;;2020;11;6431;45;57;66;76
2020;12;47;64;69;80;;;2020;12;22393;45;63;67;77
2020;13;49;69;70;80;;;2020;13;33969;48;65;68;78
2020;14;52;72;71;83;;;2020;14;36052;51;68;68;81
2020;15;52;74;71;83;;;2020;15;27136;52;69;69;81
2020;16;52;75;71;83;;;2020;16;17334;51;69;68;81
2020;17;50;74.5;71;84;;;2020;17;12346;50;67;68;81
2020;18;48;72;70;82;;;2020;18;7434;48;66;68;80
2020;19;46;71;71;82;;;2020;19;6237;47;66;69;81
2020;20;44;71;74;84;;;2020;20;4764;45;64;70;81
2020;21;41;69;72;84;;;2020;21;3598;44;65;72;81
2020;22;40;67;68;80;;;2020;22;3204;42;63;65;78
2020;23;36;63;60;80;;;2020;23;2351;39;59;58;77
2020;24;34;59;61.5;83;;;2020;24;2341;37;56;60;77
2020;25;36;54;62.5;76;;;2020;25;4190;36;56;65;75
2020;26;36;57;66;78;;;2020;26;3153;37;56;63;76
2020;27;35;53;66;77.5;;;2020;27;2688;36;54;63;72
2020;28;34;54;63;79;;;2020;28;2427;36;54;60;75
2020;29;34;53;64;81;;;2020;29;3022;36;53;63;77
2020;30;35;56;64;79;;;2020;30;3926;36;54;60;77
2020;31;34;58;59;83;;;2020;31;4831;36;57;60;80
2020;32;32;56;72;85;;;2020;32;6058;34;54;68;81
2020;33;30;56;63;83;;;2020;33;7951;32;53;61;81
2020;34;29;51;63;75;;;2020;34;9600;32;50;62;70
2020;35;29;52;57;76.5;;;2020;35;8821;32;51;58;74
2020;36;30;55;64;78.5;;;2020;36;8617;33;53;63;75
2020;37;32;60;71;81;;;2020;37;9763;35;57;65;79
2020;38;33;60;61;81;;;2020;38;12290;36;59;60;79
2020;39;34;61;68.5;82;;;2020;39;13062;37;59;65;80
2020;40;35;61;70;82;;;2020;40;15924;38;58;67;78
2020;41;37;62;69;82;;;2020;41;26111;39;59;67;80
2020;42;37;64;68.5;83;;;2020;42;42064;39;61;66;81
2020;43;39;67;72;83;;;2020;43;74871;40;63;68;81
2020;44;40;68;71;83;;;2020;44;111027;41;63;68;80
2020;45;40;70;73;83;;;2020;45;125764;41;64;69;81
2020;46;41;71;73;84;;;2020;46;127793;42;66;70;82
2020;47;42;73;72;84;;;2020;47;128378;43;67;69;82
2020;48;43;73;71;84;;;2020;48;123214;44;67;69;82
2020;49;44;75;73;84;;;2020;49;128395;45;69;70;82
2020;50;45;76;73;84;;;2020;50;156307;46;69;70;82
2020;51;47;76;74;84;;;2020;51;174728;46;69;71;82
2020;52;48;77;73;84;;;2020;52;138992;48;70;71;82
2020;53;49;76;73;84;;;2020;53;123083;49;70;70;82
2021;01;48;77;73;84;;;2021;1;145464;48;70;71;82
2021;02;48;77;75;84;;;2021;2;118932;48;70;72;83
2021;03;49;76;74;84;;;2021;3;95530;48;71;72;82
2021;04;48;76;74;83;;;2021;4;78114;48;70;70;82
2021;05;47;75;72.5;84;;;2021;5;64567;46;69;70;81
2021;06;45;74;73;83;;;2021;6;50802;45;68;70;81
2021;07;44;73;73;82;;;2021;7;52405;44;67;69;80
2021;08;42;70;70;82;;;2021;8;56358;42;66;67;79
2021;09;40;69;68;81;;;2021;9;58369;40;64;66;78
2021;10;39;67;67;80;;;2021;10;71306;39;63;65;77
2021;11;38;65;66;79;;;2021;11;92594;39;62;65;76
2021;12;38;65;67;79;;;2021;12;116273;38;61;64;76
2021;13;39;64;67;78;;;2021;13;110099;39;61;64;76
2021;14;39;63;66;78;;;2021;14;118249;39;60;64;75
2021;15;37;64;66;78;;;2021;15;142021;38;60;64;75
2021;16;37;62;66;77;;;2021;16;144751;37;60;63;74
2021;17;37;62;65;78;;;2021;17;124839;37;59;63;75
2021;18;37;62;66;78;;;2021;18;101009;37;59;64;75
2021;19;36;62;64;78;;;2021;19;70850;37;59;62;76
2021;20;35;61;65;79;;;2021;20;52747;36;58;63;76
2021;21;34;60.5;65;78;;;2021;21;29894;35;58;61;76
2021;22;33;58.5;63;78.5;;;2021;22;20703;34;57;62;75
2021;23;31;57;61;79;;;2021;23;14031;33;55;60;75
2021;24;30;55;58;76;;;2021;24;7257;32;53;56;73
2021;25;30;53;62;71.5;;;2021;25;4812;32;50;59;72
2021;26;29;55;61;78.5;;;2021;26;4344;32;51;62;75
2021;27;28;53;57.5;79.5;;;2021;27;5556;32;52;57;76
2021;28;27;47;56;81.5;;;2021;28;9064;30;49;55;76
2021;29;27;47;56.5;78;;;2021;29;12592;30;48;58;76
2021;30;28;50;59;81;;;2021;30;15463;31;49;57;75
2021;31;28;48;57;85;;;2021;31;20322;30;49;55;82
2021;32;28;48;60;82;;;2021;32;31385;30;47;57;79
