Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50;2021_51
Gesamt;899;6431;22387;33968;36052;27130;17325;12349;7427;6234;4757;3598;3204;2353;2342;4190;3154;2687;2421;3025;3927;4833;6056;7952;9595;8827;8612;9759;12291;13064;15925;26118;42060;74865;111007;125728;127795;128371;123156;128362;156291;174710;138939;123051;145436;118873;95513;78122;64553;50802;52386;56340;58367;71317;92577;116263;110100;118270;142047;144737;124784;100974;70793;52684;29882;20682;14036;7275;4827;4358;5574;9101;12625;15503;20414;32063;49621;66349;74675;71664;61454;53604;56463;57974;65318;97684;137017;177924;271390;351734;403372;388241;337920;273383;193118
90+;1;13;102;424;1170;1243;849;582;284;204;141;103;72;42;46;37;28;24;14;27;17;39;29;25;18;28;24;45;74;94;119;182;437;887;1462;1721;2312;3063;3516;4193;5401;5969;5236;4980;5403;5017;3942;2873;1933;1297;1062;827;610;608;638;661;623;717;791;796;636;541;407;278;160;129;65;44;10;6;17;20;25;56;65;127;138;227;334;350;392;331;325;395;523;889;1162;1652;1899;2348;2655;2418;2309;1894;1195
85 - 89;6;38;218;735;1451;1421;924;681;324;262;179;125;85;51;51;47;33;28;20;25;34;41;38;56;23;33;25;85;101;121;165;307;575;1151;1785;2282;2831;3376;4092;4596;5906;6937;5818;5583;6065;5553;4440;3321;2577;1649;1462;1204;964;938;1110;1261;1193;1071;1200;1177;990;855;619;434;236;158;90;50;41;26;30;41;50;65;85;146;220;332;437;507;519;452;530;587;722;1323;1677;2310;2968;3847;4232;3716;3407;2722;1754
80 - 84;12;84;469;1278;1964;1718;1175;818;452;298;246;154;113;76;61;62;51;49;37;37;51;90;70;81;64;50;60;132;196;212;315;471;857;1839;2837;3434;3797;4359;4771;5444;7073;8254;7407;6863;7668;6683;5330;4192;3140;2289;1994;1775;1550;1638;1793;2129;1893;1959;2218;2023;1595;1365;921;693;382;209;155;63;40;38;46;49;74;110;175;230;296;474;676;823;791;663;903;985;1154;1960;2956;3945;5381;6724;7458;6412;5074;4044;2588
75 - 79;24;113;571;1403;1787;1315;856;588;349;274;174;105;82;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;180;233;308;504;903;1631;2645;3054;3282;3381;3482;3967;5002;5935;5102;4636;5214;4308;3408;2814;2195;1700;1714;1570;1364;1423;1894;2222;2175;2353;2706;2489;2121;1659;1139;775;409;251;155;58;50;46;45;48;64;100;122;227;287;413;543;593;565;562;713;738;960;1626;2489;3238;4860;6292;7004;6106;4943;3610;2267
70 - 74;11;146;620;1329;1411;1042;631;422;274;207;128;94;80;47;40;57;40;37;56;62;63;89;91;79;97;92;105;151;260;267;351;584;934;1804;2881;3187;3304;3355;3190;3479;4385;5159;4444;4128;4835;3664;3052;2480;2063;1575;1599;1644;1555;1806;2376;2840;2901;3144;3612;3369;2877;2302;1593;1081;583;342;213;114;71;68;59;68;102;168;172;298;392;619;738;817;756;692;858;1021;1158;2008;3166;4512;6472;8728;9507;8671;7160;5107;3393
65 - 69;25;236;885;1647;1687;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;84;86;121;110;122;129;127;224;290;305;450;687;1282;2263;3552;4264;4014;4155;4131;4116;5170;6349;5586;4975;5730;4416;3624;3129;2536;1914;2040;2120;1995;2302;3191;3900;3965;4308;4912;4629;3972;3292;2318;1616;771;592;319;134;103;76;93;114;159;241;284;404;591;811;996;1108;1049;984;1094;1389;1574;2593;3903;5490;8278;11031;12649;12091;10184;7550;5030
60 - 64;63;428;1597;2523;2780;1787;1085;672;405;332;239;175;168;107;91;121;106;112;94;110;152;151;204;193;237;243;249;339;489;542;682;1271;2122;3960;5987;6853;6928;7295;7003;7656;9434;11036;9180;8259;9282;7552;6234;5124;4215;3187;3246;3515;3417;4121;5309;6574;6405;6874;7599;7754;6796;5530;3731;2648;1347;850;558;283;154;155;168;235;294;397;477;713;979;1484;1837;1881;1708;1644;1815;2152;2558;4274;6188;8889;12961;17089;20145;19212;16410;12203;8201
55 - 59;76;749;2587;3593;3664;2603;1564;1061;598;509;359;263;237;142;133;193;196;156;116;178;242;288;308;325;431;357;394;554;760;867;1107;1874;3003;5757;8970;10164;10298;10263;9877;10385;13049;15001;12389;11093;12319;10031;8337;7010;5808;4509;4605;4839;4635;5712;7267;9092;8949;9681;10667;11020;9925;7814;5321;3577;1929;1256;794;364;244;230;245;367;545;581;785;1248;1804;2398;2716;2892;2603;2488;2761;3029;3607;5962;8562;12021;17560;23403;27293;25911;21659;16648;11329
50 - 54;133;980;3088;3999;3701;2606;1561;987;599;521;373;251;241;150;147;328;258;186;171;208;292;352;415;472;559;538;549;669;899;995;1202;2269;3579;6421;9765;10967;10995;10842;10330;10553;13260;14919;11979;10529;12106;9809;8176;6675;5306;4310;4498;4751;4946;5906;7532;9349;9124;9955;11113;11638;10144;8014;5476;3773;2055;1353;824;441;299;226;290;454;624;821;977;1643;2537;3338;3724;3694;3327;2895;3299;3472;4207;6583;9184;12783;18829;25030;28521;26991;22295;17626;11997
