Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38
Gesamt;899;6431;22390;33966;36047;27136;17329;12344;7424;6237;4763;3597;3205;2351;2341;4190;3154;2686;2423;3024;3924;4832;6057;7949;9595;8828;8614;9761;12293;13059;15922;26110;42064;74874;111007;125727;127774;128361;123157;128351;156290;174702;138950;123069;145438;118899;95516;78125;64558;50807;52389;56350;58366;71306;92577;116264;110096;118265;142047;144751;124809;100988;70829;52695;29876;20678;14028;7262;4819;4350;5562;9090;12615;15489;20392;32029;49580;66268;74623;71608;61349;52986
90+;1;13;102;424;1170;1243;849;582;284;205;141;103;72;42;46;37;28;24;14;27;17;39;28;25;18;28;24;45;74;94;119;182;437;887;1462;1720;2310;3062;3516;4193;5402;5971;5235;4979;5403;5018;3941;2874;1932;1299;1063;827;610;608;638;661;625;717;792;795;636;541;408;278;160;129;65;44;10;6;17;20;25;57;66;129;139;226;336;356;396;342
85 - 89;6;38;218;735;1451;1421;924;681;324;262;179;125;85;51;51;47;33;28;20;25;34;41;39;56;23;33;25;85;101;121;165;307;575;1151;1786;2284;2831;3376;4093;4596;5908;6936;5822;5584;6066;5557;4440;3323;2577;1650;1461;1203;964;938;1110;1260;1192;1072;1200;1176;990;855;620;433;236;158;90;50;41;26;30;41;50;66;85;147;221;331;439;510;517;443
80 - 84;12;84;468;1279;1963;1719;1176;818;452;298;246;154;113;76;61;62;51;49;37;37;51;90;70;81;64;50;60;132;196;212;315;471;857;1839;2835;3433;3796;4359;4769;5445;7074;8256;7408;6866;7666;6687;5331;4192;3144;2291;1994;1778;1550;1638;1794;2128;1893;1960;2219;2023;1595;1364;921;693;382;210;155;63;40;38;46;49;75;110;174;230;296;478;675;824;793;650
75 - 79;24;113;571;1402;1788;1314;855;588;349;275;174;105;82;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;180;233;308;504;903;1630;2644;3052;3282;3381;3485;3967;5003;5936;5102;4637;5215;4310;3409;2815;2198;1701;1712;1570;1365;1425;1894;2222;2175;2352;2707;2487;2120;1665;1140;773;408;250;155;59;50;46;45;48;64;100;122;227;287;412;539;591;571;560
70 - 74;11;146;620;1328;1412;1042;631;423;274;208;128;94;80;47;40;57;40;37;57;62;63;89;91;79;97;92;105;151;261;267;351;584;934;1804;2881;3187;3304;3354;3191;3480;4386;5155;4446;4128;4838;3664;3053;2480;2062;1577;1599;1644;1554;1809;2376;2840;2903;3144;3612;3371;2878;2302;1594;1081;583;341;215;112;71;67;59;67;101;168;172;298;392;617;741;818;756;688
65 - 69;25;236;884;1647;1688;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;84;86;121;110;122;129;127;224;289;305;450;687;1282;2265;3551;4264;4013;4154;4132;4117;5172;6352;5586;4977;5729;4417;3624;3127;2537;1914;2042;2120;1993;2302;3190;3899;3966;4308;4912;4627;3972;3292;2318;1617;770;593;319;135;103;77;92;114;159;240;283;403;593;810;994;1109;1050;975
60 - 64;63;429;1597;2523;2779;1788;1085;673;405;332;239;175;169;106;91;121;106;111;94;110;152;151;204;193;237;243;249;339;489;542;681;1273;2122;3959;5987;6854;6927;7299;7005;7654;9431;11037;9180;8263;9281;7551;6236;5122;4214;3187;3248;3515;3420;4120;5308;6570;6406;6875;7600;7759;6794;5531;3731;2651;1343;852;558;283;154;155;168;235;294;397;474;711;977;1483;1832;1876;1711;1628
55 - 59;76;749;2588;3593;3665;2603;1565;1060;599;509;360;263;237;142;133;193;196;156;116;178;242;288;308;325;431;357;394;554;760;866;1107;1873;3003;5757;8970;10167;10295;10259;9875;10383;13045;15003;12392;11093;12326;10032;8336;7009;5809;4508;4604;4838;4637;5713;7264;9093;8947;9682;10663;11022;9927;7817;5329;3575;1929;1257;794;364;245;230;244;367;545;580;787;1244;1802;2400;2711;2885;2597;2467
50 - 54;133;979;3089;3999;3699;2606;1561;987;599;521;376;251;241;150;146;328;257;186;171;208;292;352;415;472;559;538;549;669;899;995;1203;2269;3579;6420;9767;10964;10997;10844;10331;10552;13260;14919;11981;10528;12101;9814;8179;6675;5304;4311;4501;4751;4947;5905;7531;9350;9123;9954;11113;11645;10146;8018;5476;3772;2056;1354;823;439;298;225;289;453;622;821;975;1641;2532;3331;3722;3688;3327;2866
