Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50;2021_51;2021_52;2022_1;2022_2;2022_3;2022_4;2022_5;2022_6;2022_7;2022_8;2022_9;2022_10;2022_11;2022_12;2022_13;2022_14;2022_15
Gesamt;901;6432;22388;33962;36052;27128;17335;12350;7434;6230;4759;3602;3207;2352;2344;4185;3165;2691;2423;3041;3937;4840;6068;7956;9596;8833;8615;9763;12291;13070;15934;26124;42057;74869;110995;125716;127818;128394;123147;128371;156310;174702;138924;123087;145494;118916;95552;78178;64588;50818;52438;56392;58436;71394;92666;116348;110128;118265;142087;144795;124814;100981;70818;52704;29901;20690;14061;7279;4846;4379;5583;9109;12639;15514;20423;32071;49648;66380;74748;71675;61478;53608;56490;58009;65356;97724;137027;177886;271286;351712;403322;388254;338184;273602;193935;208759;338110;485981;795949;1110762;1289521;1307544;1190852;1090825;1127785;1401836;1568891;1572793;1283708;976916;753754
90+;1;13;102;424;1171;1244;848;583;284;204;141;103;72;42;46;37;28;24;14;27;17;39;29;25;18;28;24;45;74;94;119;182;437;887;1462;1722;2315;3064;3514;4195;5400;5967;5235;4982;5404;5019;3943;2875;1934;1297;1061;827;611;608;639;661;623;716;792;794;636;539;407;276;160;129;66;44;11;6;17;20;25;56;65;127;138;228;335;349;392;331;325;396;521;889;1160;1647;1894;2328;2631;2398;2300;1861;1174;1087;1412;1618;2883;4204;5959;7471;8032;8335;7928;9258;10301;10428;8549;6576;5111
85 - 89;6;38;218;735;1452;1421;924;680;324;262;179;125;85;51;51;47;33;28;20;25;34;41;38;56;23;33;25;85;101;121;165;307;576;1151;1785;2278;2832;3378;4090;4595;5906;6939;5815;5583;6068;5554;4441;3326;2575;1648;1461;1207;964;938;1113;1267;1195;1072;1201;1177;990;854;618;435;236;158;90;50;41;26;30;41;50;65;85;146;221;333;438;506;519;449;530;590;722;1322;1679;2312;2971;3847;4231;3710;3397;2709;1755;1610;1963;2123;3494;4940;7176;9257;9959;10331;10504;12536;14888;15039;12978;9923;7665
80 - 84;12;84;469;1277;1965;1718;1175;817;452;298;246;154;114;76;61;62;51;49;37;37;51;90;70;81;64;50;59;132;196;212;315;471;857;1839;2836;3434;3796;4359;4769;5446;7071;8255;7406;6861;7666;6678;5330;4193;3140;2289;1996;1774;1549;1637;1792;2132;1896;1956;2219;2024;1593;1365;922;695;384;209;156;63;41;38;46;49;74;110;175;230;296;476;677;823;792;662;903;984;1155;1960;2958;3947;5385;6722;7445;6417;5062;4032;2580;2531;3239;3354;5212;7355;10357;13130;13752;14702;14901;19536;24273;25461;22256;16603;13366
75 - 79;24;113;571;1403;1788;1314;855;586;349;274;174;105;82;58;46;65;58;40;40;44;57;71;55;72;67;69;75;147;180;233;309;503;903;1631;2646;3055;3282;3382;3479;3966;5000;5932;5100;4638;5213;4312;3409;2812;2196;1699;1715;1571;1363;1423;1894;2222;2176;2353;2706;2491;2120;1659;1141;774;408;251;155;58;50;46;45;48;64;100;122;227;286;414;543;594;564;562;713;738;962;1626;2490;3242;4858;6296;7004;6101;4949;3598;2261;2315;2966;3042;4736;6863;8999;10906;11545;12215;12615;17327;22201;23895;20599;15444;12737
70 - 74;11;146;620;1330;1411;1040;631;423;275;207;127;94;80;47;40;57;41;37;56;62;63;89;91;79;97;92;105;151;260;267;351;584;934;1805;2882;3187;3304;3356;3190;3479;4384;5157;4444;4130;4835;3666;3055;2480;2065;1575;1599;1642;1556;1806;2376;2841;2899;3144;3611;3368;2877;2301;1592;1081;583;342;213;114;71;68;59;68;102;168;172;298;392;619;740;817;757;692;857;1022;1160;2009;3165;4513;6467;8727;9505;8668;7169;5107;3390;3516;4578;4835;7235;10375;13738;16386;16985;17433;18809;25662;32238;34581;30156;22717;18587
65 - 69;25;236;885;1645;1687;1115;657;501;265;209;147;122;106;60;51;69;66;62;62;72;85;86;121;110;122;129;127;224;290;304;450;689;1282;2263;3554;4263;4015;4157;4130;4115;5168;6347;5585;4976;5731;4416;3627;3128;2537;1911;2040;2121;1996;2305;3192;3901;3966;4309;4908;4626;3968;3294;2320;1617;769;592;321;134;103;76;93;114;160;240;284;405;591;810;997;1107;1050;985;1097;1389;1574;2597;3904;5489;8272;11033;12651;12083;10171;7552;5046;5284;6851;7538;11518;16247;21229;24614;24877;25200;26818;35620;44228;46865;40888;31153;25421
60 - 64;63;429;1597;2523;2780;1786;1085;672;405;332;238;174;168;107;91;121;106;112;95;110;153;151;205;193;237;244;249;340;489;542;683;1270;2121;3962;5985;6856;6929;7297;7001;7655;9434;11039;9180;8261;9290;7551;6235;5126;4217;3189;3245;3516;3418;4126;5314;6576;6408;6875;7600;7755;6800;5531;3733;2646;1346;850;558;281;155;155;168;235;294;398;477;714;980;1484;1838;1879;1711;1643;1814;2152;2560;4275;6187;8892;12962;17083;20149;19208;16419;12202;8233;8945;11978;14615;22920;33047;41841;47371;47642;47156;49800;65171;79250;83573;71529;55432;44884
55 - 59;76;749;2584;3590;3663;2602;1566;1061;598;509;359;263;237;142;133;194;198;156;116;178;242;288;309;326;432;356;394;553;760;867;1108;1873;3003;5759;8970;10160;10299;10264;9872;10389;13048;14995;12389;11090;12327;10031;8337;7010;5808;4512;4603;4843;4642;5716;7273;9097;8955;9683;10667;11021;9924;7817;5325;3580;1931;1255;795;363;244;231;245;368;546;581;789;1246;1803;2398;2725;2893;2602;2487;2762;3032;3605;5964;8563;12007;17555;23412;27300;25919;21670;16625;11382;13199;19022;23788;36070;50285;62531;69289;68656;67175;71552;93432;113111;116444;98674;77585;61976
50 - 54;134;977;3089;4000;3699;2606;1562;988;599;519;374;251;241;150;147;325;260;186;172;208;294;353;415;473;559;539;550;669;901;996;1203;2269;3579;6424;9759;10970;10997;10840;10329;10553;13261;14923;11971;10534;12113;9808;8182;6675;5311;4308;4504;4754;4953;5908;7545;9353;9122;9956;11116;11644;10144;8013;5474;3770;2056;1352;826;443;300;226;292;455;624;824;978;1644;2537;3337;3726;3694;3330;2892;3300;3475;4211;6583;9182;12785;18827;25024;28521;27007;22316;17643;12054;14171;22081;30042;43665;60093;73222;78284;75150;71495;76958;99392;117063;118747;99886;77215;60566
